player_id,player_name,spotrac_id,deal_date,deal_year,team,years,total_value_m,deal_type,verified,raw
abrinal01,Álex Abrines,13345,"Jul 23, 2016",2016,OKC,3,17.2,standard,1,Signed a 3 year $17.2 million contract with Oklahoma City (OKC)
achiupr01,Precious Achiuwa,70662,"Jul 07, 2026",2026,SAC,2,11.23,standard,1,Signed a 2 year $11.23 million a contract with Sacramento (SAC)
achiupr01,Precious Achiuwa,70662,"Nov 04, 2025",2025,SAC,1,2.45,standard,1,Signed a 1 year $2.45 million Rest-of-Season contract with Sacramento (SAC)
achiupr01,Precious Achiuwa,70662,"Jul 30, 2024",2024,NYK,1,6.0,standard,1,Signed a 1 year $6 million contract with New York (NYK)
achiupr01,Precious Achiuwa,70662,"Nov 25, 2020",2020,MIA,4,12.51,rookie-scale,1,Signed a 4 year $12.51 million rookie scale contract with Miami (MIA)
acyqu01,Quincy Acy,10862,"Jan 30, 2017",2017,BKN,2,3.5,standard,1,Signed a 2 year $3.5 million contract with Brooklyn (BKN)
acyqu01,Quincy Acy,10862,"Jul 20, 2016",2016,DAL,2,2.23,standard,1,Signed a 2 year $2.23 million contract with Dallas (DAL)
acyqu01,Quincy Acy,10862,"Jul 22, 2015",2015,SAC,2,2.03,standard,1,Signed a 2 year $2.03 million contract with Sacramento (SAC)
acyqu01,Quincy Acy,10862,"Jul 16, 2012",2012,TOR,3,2.37,standard,1,Signed a 3 year $2.37 million entry-level contract with Toronto (TOR)
adamsst01,Steven Adams,13325,"Jun 14, 2025",2025,HOU,3,39.0,extension,1,Signed a 3 year $39 million veteran contract extension with Houston (HOU)
adamsst01,Steven Adams,13325,"Oct 01, 2022",2022,MEM,2,25.2,extension,1,Signed a 2 year $25.2 million veteran contract extension with Memphis (MEM)
adamsst01,Steven Adams,13325,"Nov 24, 2020",2020,OKC,2,35.0,extension,1,Signed a 2 year $35 million contract extension with Oklahoma City (OKC) as part of an Extend-and-Trade with New Orleans (NOP)
adamsst01,Steven Adams,13325,"Oct 31, 2016",2016,OKC,4,100.0,extension,1,Signed a 4 year $100 million contract extension with Oklahoma City (OKC)
adamsst01,Steven Adams,13325,"Jul 12, 2013",2013,OKC,2,4.28,standard,1,Signed a 2 year $4.28 million contract with Oklahoma City (OKC)
adebaba01,Bam Adebayo,23609,"Jul 06, 2024",2024,MIA,3,160.34,maximum,1,Signed a 3 year $160.34 million maximum contract extension with Miami (MIA) - includes 2028-29 Player Option
adebaba01,Bam Adebayo,23609,"Nov 28, 2020",2020,MIA,5,163.0,extension,1,Signed a 5 year $163 million contract extension with Miami (MIA) - includes language for 30% rookie super max
adebaba01,Bam Adebayo,23609,"Jul 01, 2017",2017,MIA,4,14.02,rookie-scale,1,Signed a 4 year $14.02 million rookie scale contract with Miami (MIA)
afflaar01,Arron Afflalo,2297,"Jul 09, 2016",2016,SAC,2,25.0,standard,1,Signed a 2 year $25 million contract with Sacramento (SAC)
afflaar01,Arron Afflalo,2297,"Jul 09, 2015",2015,NYK,2,16.0,standard,1,Signed a 2 year $16 million contract with New York (NYK)
afflaar01,Arron Afflalo,2297,"Dec 20, 2011",2011,DEN,5,36.7,standard,1,Signed a 5 year $36.7 million contract with Denver (DEN)
afflaar01,Arron Afflalo,2297,"Jul 04, 2007",2007,DET,4,5.0,standard,1,Signed a 4 year $5 million contract with Detroit (DET)
agbajoc01,Ochai Agbaji,78124,"Jul 02, 2022",2022,CLE,4,18.73,rookie-scale,1,Signed a 4 year $18.73 million Rookie Scale contract with Cleveland (CLE)
ajincal01,Alexis Ajinça,6087,"Jul 09, 2015",2015,NOP,4,19.2,standard,1,Signed a 4 year $19.2 million contract with New Orleans (NOP)
ajincal01,Alexis Ajinça,6087,"Dec 20, 2013",2013,NOP,2,1.62,standard,1,Signed a 2 year $1.62 million contract with New Orleans (NOP)
ajincal01,Alexis Ajinça,6087,"Jul 03, 2008",2008,CHA,2,2.65,standard,1,Signed a 2 year $2.65 million contract with Charlotte (CHA)
aldamsa01,Santi Aldama,74137,"Jul 15, 2025",2025,MEM,3,52.5,standard,1,Signed a 3 year $52.5 million contract with Memphis (MEM) - includes 2027-28 Club Option
aldamsa01,Santi Aldama,74137,"Aug 08, 2021",2021,MEM,4,10.24,rookie-scale,1,Signed a 4 year $10.24 million rookie scale contract with Memphis (MEM)
aldrico01,Cole Aldrich,6893,"Jul 13, 2016",2016,MIN,3,21.9,standard,1,Signed a 3 year $21.9 million contract with Minnesota (MIN)
aldrico01,Cole Aldrich,6893,"Jul 13, 2015",2015,LAC,2,2.33,standard,1,Signed a 2 year $2.33 million contract with Los Angeles (LAC)
aldrico01,Cole Aldrich,6893,"Jul 11, 2014",2014,NYK,1,0.981,standard,1,Signed a 1 year $981k contract with New York (NYK)
aldrico01,Cole Aldrich,6893,"Sep 24, 2013",2013,NYK,1,0.916099,standard,1,"Signed a 1 year $916,099 contract with New York (NYK)"
aldrico01,Cole Aldrich,6893,"Aug 09, 2010",2010,OKC,2,4.41,standard,1,Signed a 2 year $4.41 million contract with Oklahoma City (OKC)
aldrila01,LaMarcus Aldridge,2672,"Oct 16, 2017",2017,SAS,2,50.0,extension,1,Signed a 2 year $50 million contract extension with San Antonio (SAS) - in addition to exercising $22.3 million 2018-19 Player Option
aldrila01,LaMarcus Aldridge,2672,"Jul 09, 2015",2015,SAS,4,84.1,maximum,1,Signed a 4 year $84.1 million maximum contract with San Antonio (SAS)
aldrila01,LaMarcus Aldridge,2672,"Oct 21, 2009",2009,POR,5,67.5,rookie-scale,1,Signed a 5 year $67.5 million rookie scale extension with Portland (POR)
aldrila01,LaMarcus Aldridge,2672,"Jul 04, 2006",2006,POR,2,8.36,standard,1,Signed a 2 year $8.36 million contract with Portland (POR)
alexani01,Nickeil Alexander-Walker,31574,"Jul 06, 2025",2025,ATL,4,62.0,standard,1,Signed a 4 year $62 million contract with Atlanta (ATL) via Sign-and-Trade with Minnesota (MIN) - includes 2028-29 Player Option
alexani01,Nickeil Alexander-Walker,31574,"Jul 09, 2023",2023,MIN,2,9.0,standard,1,Signed a 2 year $9 million contract with Minnesota (MIN)
alexani01,Nickeil Alexander-Walker,31574,"Jul 07, 2019",2019,NOP,4,14.35,rookie-scale,1,Signed a 4 year $14.35 million rookie scale contract with New Orleans (NOP)
allengr01,Grayson Allen,26987,"Apr 16, 2024",2024,PHX,4,70.0,extension,1,Signed a 4 year $70 million veteran contract extension with Phoenix (PHX) - includes 2028-29 Player Option
allengr01,Grayson Allen,26987,"Oct 18, 2021",2021,MIL,2,20.0,rookie-scale,1,Signed a 2 year $20 million rookie scale contract extension with Milwaukee (MIL)
allengr01,Grayson Allen,26987,"Jul 02, 2018",2018,UTH,4,7.05,rookie-scale,1,Signed a 4 year $7.05 million rookie scale contract with Utah (UTH)
allenja01,Jarrett Allen,23617,"Aug 02, 2024",2024,CLE,3,90.72,extension,1,Signed a 3 year $90.72 million veteran contract extension with Cleveland (CLE)
allenja01,Jarrett Allen,23617,"Aug 06, 2021",2021,CLE,5,100.0,standard,1,Signed a 5 year $100 million contract with Cleveland (CLE)
allenja01,Jarrett Allen,23617,"Jul 20, 2017",2017,BKN,4,10.03,rookie-scale,1,Signed a 4 year $10.03 million rookie scale contract with Brooklyn (BKN)
allenla01,Lavoy Allen,8102,"Jul 27, 2015",2015,IND,2,8.05,standard,1,Signed 2 year $8.05 million contract with Indiana (IND)
allenla01,Lavoy Allen,8102,"Jul 11, 2014",2014,IND,1,0.948163,standard,1,"Signed a 1 year $948,163 contract with Indiana (IND)"
allenla01,Lavoy Allen,8102,"Jul 11, 2012",2012,PHI,2,6.06,standard,1,Signed a 2 year $6.06 million contract with Philadelphia (PHI)
allenla01,Lavoy Allen,8102,"Dec 09, 2011",2011,PHI,1,0.473604,standard,1,"Signed a 1 year $473,604 contract with Philadelphia (PHI)"
allento01,Tony Allen,2210,"Jul 15, 2013",2013,MEM,4,20.0,standard,1,Signed a 4 year $20 million contract with Memphis (MEM)
allento01,Tony Allen,2210,"Jul 12, 2010",2010,MEM,3,9.45,standard,1,Signed a 3 year $9.45 million contract with Memphis (MEM)
allento01,Tony Allen,2210,"Jul 19, 2008",2008,BOS,2,5.0,standard,1,Signed a 2 year $5 million contact with Boston (BOS)
allento01,Tony Allen,2210,"Jul 02, 2004",2004,BOS,3,2.91,standard,1,Signed a 3 year $2.91 million contract with Boston (BOS)
alvarjo01,Jose Alvarado,74331,"Jul 06, 2026",2026,NYK,3,14.38,standard,1,Signed a 3 year $14.38 million contract with New York (NYK)
alvarjo01,Jose Alvarado,74331,"Sep 30, 2024",2024,NOP,2,9.0,extension,1,Signed a 2 year $9 million contract extension with New Orleans (NOP)
aminual01,Al-Farouq Aminu,6890,"Jul 06, 2019",2019,ORL,3,29.2,standard,1,Signed a 3 year $29.2 million contract with Orlando (ORL)
aminual01,Al-Farouq Aminu,6890,"Jul 09, 2015",2015,POR,4,30.0,standard,1,Signed a 4 year $30 million with Portland (POR)
aminual01,Al-Farouq Aminu,6890,"Jul 28, 2014",2014,DAL,2,2.08,standard,1,Signed a 2 year $2.08 million contract with Dallas (DAL)
aminual01,Al-Farouq Aminu,6890,"Jul 08, 2010",2010,LAC,2,5.31,standard,1,Signed a 2 year $5.31 million contract with Los Angeles (LAC)
anderal01,Alan Anderson,9261,"Aug 02, 2016",2016,LAC,1,1.3,standard,1,Signed a 1 year $1.3 million contract with Los Angeles (LAC)
anderal01,Alan Anderson,9261,"Jul 12, 2015",2015,WAS,1,4.0,standard,1,Signed a 1 year $4 million contract with Washington (WAS)
